case_history_id,occurrence_id,site_key,site_id,number,street,source_location,street_nodir,parcel_id,address,match_method,Index
bza-06-17-1938c13e88,2019-03-26:06-17:1,15500:E EIGHT MILE,site-525135ef50dc,15500,E EIGHT MILE,15500 E. Eight Mile Rd Between: Crusade Ave. and Brock Ave. in a B4 zone (General Business District) – Council District #3,EIGHT MILE,21028046-7,15500 E EIGHT MILE,exact,
bza-2-19-dafba32633,2019-03-26:2-19:1,5604:FLORIDA,site-c9df2676e2b4,5604,FLORIDA,"5604, 5610 & 5614 Florida Between: McGraw and Wagner in a R2 Zone (Two-Family Residential District) - Council District #6",FLORIDA,18012914.,5604 FLORIDA,exact,
bza-2-19-dafba32633,2019-03-26:2-19:1,5610:FLORIDA,site-463a093d8ac4,5610,FLORIDA,"5604, 5610 & 5614 Florida Between: McGraw and Wagner in a R2 Zone (Two-Family Residential District) - Council District #6",FLORIDA,18012915.,5610 FLORIDA,exact,
bza-2-19-dafba32633,2019-03-26:2-19:1,5614:FLORIDA,site-27fd65a447cd,5614,FLORIDA,"5604, 5610 & 5614 Florida Between: McGraw and Wagner in a R2 Zone (Two-Family Residential District) - Council District #6",FLORIDA,18012916.,5614 FLORIDA,exact,
bza-4-19-9704261508,2019-03-26:4-19:1,2505:GREEN,site-448338467b17,2505,GREEN,"2505, 2511, 2517, 2523, 2529 & 2535 Green St Between: Pitt and Vernor in a R2 Zone (Two-Family Residential District) - Council District #6",GREEN,18008990-5,2505 GREEN,exact,
bza-57-18-3495b99b21,2019-03-26:57-18:1,16060:E EIGHT MILE,site-991305255575,16060,E EIGHT MILE,16060 E. Eight Mile Rd. Between: Redmond St and Boulder St in a B4 Zone (General Business District) – Council District#3,EIGHT MILE,21027967-8,16060 E EIGHT MILE,exact,
bza-7-19-8a6c93d171,2019-04-02:7-19:1,8002:KERCHEVAL,site-6cb10efe0928,8002,KERCHEVAL,8002 Kercheval between Van Dyke Ave and Parker St in a B4-H (General Business District - Historic) City Council District #5,KERCHEVAL,17000118.,8002 KERCHEVAL,exact,
bza-8-19-5feed4f6f4,2019-04-02:8-19:1,4404:OAKMAN,site-449f62f3b1c8,4404,OAKMAN,4404 Oakman Blvd between W Chicago Ave Grand River in a M3 (General Industrial District) City Council District #7,OAKMAN,18016335-9,4404 OAKMAN BLVD,exact,
bza-9-19-4602d22e22,2019-04-02:9-19:1,10371:NORTHLAWN,site-a77f2972adc5,10371,NORTHLAWN,10371 Northlawn between Oakman Blvd and Plymouth Rd in a M3 (GENERAL INDUSTRIAL DISTRICT) City Council District #7,NORTHLAWN,18014713.001,10371 NORTHLAWN,exact,
bza-12-19-8f68a059f3,2019-04-23:12-19:1,18845:W MCNICHOLS,site-ff96640ece8a,18845,W MCNICHOLS,18845 W. McNichols Rd. between Stahelin Ave. and Avon Ave. in a B4 zone (General Business District),MCNICHOLS,22013200.,18845 W MCNICHOLS,exact,
bza-15-19-dccd43859a,2019-04-23:15-19:1,14290:GODDARD,site-58fef1915258,14290,GODDARD,14290 Goddard between Modern St. and E. McNichols in a M4 zone (Intensive Industrial District ),GODDARD,09013939.,14290 GODDARD,exact,
bza-16-19-80a654a895,2019-05-07:16-19:1,18900:WOODWARD,site-af18bd5b8734,18900,WOODWARD,18900 Woodward between W. Hollywood and W. Brentwood in a B4 Zone (General Business District),WOODWARD,01009794-5,18900 WOODWARD AVE,exact,
bza-17-19-f5959a3b07,2019-05-07:17-19:1,6445:E HILDALE,site-1c1e6fe7f0ec,6445,E HILDALE,6445 E. Hildale between Filer Ave. and Sherwood St in a M4 Zone (Intensive Industrial District),HILDALE,15004628.004,6445 E HILDALE,exact,
bza-94-17-ef14740afe,2019-05-07:94-17:1,13624:E EIGHT MILE,site-021be42c169f,13624,E EIGHT MILE,13624 E. EIGHT MILE RD. between Schoenherr st and Reno st in a B4 zone (General Business District),EIGHT MILE,21028267-70,13624 E EIGHT MILE,exact,
bza-20-19-f02fd63021,2019-05-14:20-19:1,15514:W WARREN,site-28ddc1cd2cc1,15514,W WARREN,15512-15514 W. Warren between Winthrop and Greenfield in a B4 zone (General Business District).- City Council District #7,WARREN,22000923-4,15514 W WARREN,exact,
bza-30-19-9c0b26b104,2019-05-14:30-19:1,4004:PORTER,site-a3b262b873fb,4004,PORTER,4004 Porter between Scotten Ave and Hubbard St in an R2 TWO-FAMILY RESIDENTIAL DISTRICT- City Council District #6,PORTER,14009452-3,4004 PORTER,exact,
bza-24-19-98cd3d897f,2019-06-11:24-19:1,1786:W WILLIS,site-6de3ba740a5a,1786,W WILLIS,1786 W. WILLIS between Rosa Parks Blvd. and Avery St. in a R2 Zone (Two-Family Residential District)-City Council District #6,WILLIS,08001199.001,1786 W WILLIS UNIT 1,exact,
bza-24-19-98cd3d897f,2019-06-11:24-19:1,1786:W WILLIS,site-6de3ba740a5a,1786,W WILLIS,1786 W. WILLIS between Rosa Parks Blvd. and Avery St. in a R2 Zone (Two-Family Residential District)-City Council District #6,WILLIS,08001199.002,1786 W WILLIS UNIT 2,exact,
bza-24-19-98cd3d897f,2019-06-11:24-19:1,1786:W WILLIS,site-6de3ba740a5a,1786,W WILLIS,1786 W. WILLIS between Rosa Parks Blvd. and Avery St. in a R2 Zone (Two-Family Residential District)-City Council District #6,WILLIS,08001199.003,1786 W WILLIS UNIT 3,exact,
bza-24-19-98cd3d897f,2019-06-11:24-19:1,1786:W WILLIS,site-6de3ba740a5a,1786,W WILLIS,1786 W. WILLIS between Rosa Parks Blvd. and Avery St. in a R2 Zone (Two-Family Residential District)-City Council District #6,WILLIS,08001199.004,1786 W WILLIS UNIT 4,exact,
bza-24-19-98cd3d897f,2019-06-11:24-19:1,1786:W WILLIS,site-6de3ba740a5a,1786,W WILLIS,1786 W. WILLIS between Rosa Parks Blvd. and Avery St. in a R2 Zone (Two-Family Residential District)-City Council District #6,WILLIS,08001199.006,1786 W WILLIS UNIT 6,exact,
bza-24-19-98cd3d897f,2019-06-11:24-19:1,1786:W WILLIS,site-6de3ba740a5a,1786,W WILLIS,1786 W. WILLIS between Rosa Parks Blvd. and Avery St. in a R2 Zone (Two-Family Residential District)-City Council District #6,WILLIS,08001199.005,1786 W WILLIS UNIT 5,exact,
bza-24-19-98cd3d897f,2019-06-11:24-19:1,1786:W WILLIS,site-6de3ba740a5a,1786,W WILLIS,1786 W. WILLIS between Rosa Parks Blvd. and Avery St. in a R2 Zone (Two-Family Residential District)-City Council District #6,WILLIS,08001199.007,1786 W WILLIS UNIT 7,exact,
bza-24-19-98cd3d897f,2019-06-11:24-19:1,1786:W WILLIS,site-6de3ba740a5a,1786,W WILLIS,1786 W. WILLIS between Rosa Parks Blvd. and Avery St. in a R2 Zone (Two-Family Residential District)-City Council District #6,WILLIS,08001199.008,1786 W WILLIS UNIT 8,exact,
bza-27-19-79df09a810,2019-06-11:27-19:1,611:HILLGER,site-6a77d1a5293b,611,HILLGER,611 HILLGER between E. Jefferson Ave. and Freud St. in a M4 Zone (Intensive Industrial District) City Council District #5,HILLGER,21045233.,611 HILLGER,exact,
bza-28-19-9c30f8d441,2019-06-11:28-19:1,14415:FORDHAM,site-881d7da51cd6,14415,FORDHAM,14415 FORDHAM between Chalmers St and Celestine Ave. in a R2 Zone (Two-Family Residential District)-City Council District #4,FORDHAM,21019864.,14415 FORDHAM,exact,
bza-29-19-be10fad016,2019-06-18:29-19:1,13224:JOY,site-27a566b0bf2a,13224,JOY,13224 Joy Rd. (aka 13200 Joy Rd.) between Littlefield and Cheyenne in a B2 Zone (Local Business and Residential District)-City Council District #7,JOY,22003201-2,13224 JOY RD,exact,
bza-29-19-be10fad016,2019-06-18:29-19:1,13200:JOY,site-1ee36bbc2f5b,13200,JOY,13224 Joy Rd. (aka 13200 Joy Rd.) between Littlefield and Cheyenne in a B2 Zone (Local Business and Residential District)-City Council District #7,JOY,22003203-7,13200 JOY RD,exact,
bza-31-19-2cf7ef7116,2019-06-18:31-19:1,6811:CHARLEVOIX,site-863ddedf5468,6811,CHARLEVOIX,6811 Charlevoix between Canton and Concord in a R2 Zone (Two-Family Residential District) City Council District #4,CHARLEVOIX,15000259.001,6811 CHARLEVOIX,exact,
bza-33-19-ccbe2c0b37,2019-06-18:33-19:1,20136:BRIARCLIFF,site-0fd872d8dc1e,20136,BRIARCLIFF,20136 Briarcliff Rd. between Bloomfield and Norfolk in a R1 Zone (Single-Family Residential District) - City Council District #2,BRIARCLIFF,02005718.,20136 BRIARCLIFF RD,exact,
bza-34-19-e402408898,2019-07-09:34-19:1,2135:MICHIGAN,site-bb4d0c3a2c2d,2135,MICHIGAN,2135 Michigan Ave. between 14th and Wabash St. in a B4-H zone (General Business District-Historic),MICHIGAN,10000226.,2135 MICHIGAN AVE,exact,
bza-44-19-3332e2b636,2019-07-09:44-19:1,2119:FIELD,site-3809fbeb95f7,2119,FIELD,2119 Field St. between Kercheval Ave. and E. Vernor Hwy. in a R2 (TWO-FAMILY RESIDENTIAL DISTRICT),FIELD,15007454.002L,2119 FIELD,exact,
bza-48-19-35b257663a,2019-07-09:48-19:1,14470:LIVERNOIS,site-f89caa7d84aa,14470,LIVERNOIS,14470 Livernois,LIVERNOIS,12013095.00A,14470 LIVERNOIS,exact,
bza-13-19-d1848d1cb5,2019-07-23:13-19:1,12730:JOY,site-afc8270998fd,12730,JOY,"12730 Joy Rd (aka 12726, 12734 & 12738 Joy Rd.) between Appoline St and Meyers in a B4 zone (General Business District)- City Council District 7",JOY,22003261-5,12730 JOY RD,exact,
bza-41-19-e5976ad285,2019-07-23:41-19:1,3303:COCHRANE,site-faa94b64505c,3303,COCHRANE,3303 Cochrane between Ash and Sycamore in a R2 (TWO-FAMILY RESIDENTIAL DISTRICT)-City Council #5,COCHRANE,08006537.001,3303 COCHRANE,exact,
bza-80-17-303a06ac56,2019-07-23:80-17:1,201:W EIGHT MILE,site-5d0c53ae2816,201,W EIGHT MILE,201 W. Eight Mile Rd. Between: Danbury St. and Exeter St. in a B4 Zone (General Business District)- City Council District #3,EIGHT MILE,09008311-15,201 W EIGHT MILE,exact,
bza-35-19-a7022fa187,2019-08-13:35-19:1,19321:GREENFIELD,site-fe8b2710ef2c,19321,GREENFIELD,19321 Greenfield between Vassar and Cambridge in a R2 (Two-Family Residential District)-City Council District #2,GREENFIELD,22050540-2,19321 GREENFIELD,exact,
bza-36-19-2ede43fee8,2019-08-13:36-19:1,1563:HALE,site-cfe7426a4d8c,1563,HALE,1563 & 1575 Hale St.,HALE,07000970.,1563 HALE,exact,
bza-36-19-2ede43fee8,2019-08-13:36-19:1,1575:HALE,site-c82863bb35d3,1575,HALE,1563 & 1575 Hale St.,HALE,07000971-2,1575 HALE,exact,
bza-39-19-5ad28b381f,2019-08-13:39-19:1,11630:RUSSELL,site-c4f0ec44e3f8,11630,RUSSELL,11630 Russell,RUSSELL,07001818.,11630 RUSSELL,exact,
bza-54-19-b25700d41d,2019-08-13:54-19:1,61:CLAIRMOUNT,site-d94d83fe695c,61,CLAIRMOUNT,61 Clairmount between Second Ave. and Woodward in a R5 zone (MEDIUM DENSITY RESIDENTIAL DISTRICT)-City Council District 5,CLAIRMOUNT,02001414.002,61 CLAIRMOUNT UNIT 2,exact,
bza-38-19-f657c9531f,2019-08-20:38-19:1,7924:MICHIGAN,site-ffe4f118e07e,7924,MICHIGAN,7900 Michigan Ave. (aka 7924 Michigan) between Springwells and Elmer in a B4 zone (GENERAL BUSINESS DISTRICT)-City Council District #6,MICHIGAN,20004732-6,7924 MICHIGAN AVE,exact,
bza-40-19-aae5d99948,2019-08-20:40-19:1,173:E GRAND,site-7b0e642f76f0,173,E GRAND,173 E. Grand Blvd. between E. Lafayette and Jefferson in a R5 (MEDIUM DENSITY RESIDENTIAL DISTRICT)-City Council District #5,GRAND,15008116.,173 E GRAND BLVD,exact,
bza-43-19-df0b0c111b,2019-08-20:43-19:1,15146:GRATIOT,site-3c7eaa1390ab,15146,GRATIOT,15146 Gratiot between Bringard and Eastburn in a B4 (General Business District)-City Council District #3,GRATIOT,21028475-6,15146 GRATIOT,exact,
bza-46-19-c14dfe54e8,2019-08-27:46-19:1,4130:TRUMBULL,site-6b2cfdffbd08,4130,TRUMBULL,4130 Trumbull between W. Willis St and W Alexandrine St Ave in a R3-H Zone (Low-Density Residential District-Historic),TRUMBULL,06005934.001,4130 TRUMBULL UNIT 1,exact,
bza-46-19-c14dfe54e8,2019-08-27:46-19:1,4130:TRUMBULL,site-6b2cfdffbd08,4130,TRUMBULL,4130 Trumbull between W. Willis St and W Alexandrine St Ave in a R3-H Zone (Low-Density Residential District-Historic),TRUMBULL,06005934.002,4130 TRUMBULL UNIT 2,exact,
bza-46-19-c14dfe54e8,2019-08-27:46-19:1,4130:TRUMBULL,site-6b2cfdffbd08,4130,TRUMBULL,4130 Trumbull between W. Willis St and W Alexandrine St Ave in a R3-H Zone (Low-Density Residential District-Historic),TRUMBULL,06005934.003,4130 TRUMBULL UNIT 3,exact,
bza-46-19-c14dfe54e8,2019-08-27:46-19:1,4130:TRUMBULL,site-6b2cfdffbd08,4130,TRUMBULL,4130 Trumbull between W. Willis St and W Alexandrine St Ave in a R3-H Zone (Low-Density Residential District-Historic),TRUMBULL,06005934.004,4130 TRUMBULL UNIT 4,exact,
bza-46-19-c14dfe54e8,2019-08-27:46-19:1,4130:TRUMBULL,site-6b2cfdffbd08,4130,TRUMBULL,4130 Trumbull between W. Willis St and W Alexandrine St Ave in a R3-H Zone (Low-Density Residential District-Historic),TRUMBULL,06005934.005,4130 TRUMBULL UNIT 5,exact,
bza-46-19-c14dfe54e8,2019-08-27:46-19:1,4130:TRUMBULL,site-6b2cfdffbd08,4130,TRUMBULL,4130 Trumbull between W. Willis St and W Alexandrine St Ave in a R3-H Zone (Low-Density Residential District-Historic),TRUMBULL,06005934.006,4130 TRUMBULL UNIT 6,exact,
bza-49-19-171a94dba8,2019-08-27:49-19:1,4218:4TH,site-892b557478ec,4218,4TH,4218 & 4228 Fourth Street between W. Willis and Calumet in an R2 zone (Two-Family Residential District),4TH,04003972.008,4218 FOURTH,exact,
bza-49-19-171a94dba8,2019-08-27:49-19:1,4228:4TH,site-d287ca048de8,4228,4TH,4218 & 4228 Fourth Street between W. Willis and Calumet in an R2 zone (Two-Family Residential District),4TH,04003972.009,4228 FOURTH,exact,
bza-50-19-a14aec6068,2019-08-27:50-19:1,4213:4TH,site-2e74d7a4eec0,4213,4TH,"4213, 4219 and 4225 Fourth Street between W. Willis and Calumet in an R2 zone (Two Family Residential District)",4TH,04003972.005,4213 FOURTH,exact,
bza-50-19-a14aec6068,2019-08-27:50-19:1,4219:4TH,site-a3392a020fa1,4219,4TH,"4213, 4219 and 4225 Fourth Street between W. Willis and Calumet in an R2 zone (Two Family Residential District)",4TH,04003972.002,4219 FOURTH,exact,
bza-65-19-ece5db0d26,2019-08-27:65-19:1,1620:MICHIGAN,site-658fbac40aa1,1620,MICHIGAN,1620 Michigan Ave. between Trumbull Ave. and Cochrane St. in a B4 zone (General Business District),MICHIGAN,08000590-1,1620 MICHIGAN AVE,exact,
bza-67-18-3e522c88c3,2019-08-27:67-18:1,13300:SYRACUSE,site-27b22e4063f2,13300,SYRACUSE,13300 Syracuse St (aka 13291 Mound) between Rupert and Luce in a R5 (Medium-Density Residential District),SYRACUSE,13013223.004,13300 SYRACUSE,exact,
bza-67-18-3e522c88c3,2019-08-27:67-18:1,13291:MOUND,site-e009f7a29269,13291,MOUND,13300 Syracuse St (aka 13291 Mound) between Rupert and Luce in a R5 (Medium-Density Residential District),MOUND,13013223.003,13291 MOUND,exact,
bza-184-17-b3de95c28c,2019-09-17:184-17:1,2037:11TH,site-3f7ebf781b4c,2037,11TH,"2031, 2037, 2043 & 2047 11th Street between Michigan Ave. and Church St. in a B4 zone (General Business District)-City Council District #6",11TH,08007252.014,2037 11TH ST UNIT 14,exact,
bza-184-17-b3de95c28c,2019-09-17:184-17:1,2037:11TH,site-3f7ebf781b4c,2037,11TH,"2031, 2037, 2043 & 2047 11th Street between Michigan Ave. and Church St. in a B4 zone (General Business District)-City Council District #6",11TH,08007252.013,2037 11TH ST UNIT 13,exact,
bza-184-17-b3de95c28c,2019-09-17:184-17:1,2037:11TH,site-3f7ebf781b4c,2037,11TH,"2031, 2037, 2043 & 2047 11th Street between Michigan Ave. and Church St. in a B4 zone (General Business District)-City Council District #6",11TH,08007252.012,2037 11TH ST UNIT 12,exact,
bza-184-17-b3de95c28c,2019-09-17:184-17:1,2037:11TH,site-3f7ebf781b4c,2037,11TH,"2031, 2037, 2043 & 2047 11th Street between Michigan Ave. and Church St. in a B4 zone (General Business District)-City Council District #6",11TH,08007252.011,2037 11TH ST UNIT 11,exact,
bza-184-17-b3de95c28c,2019-09-17:184-17:1,2037:11TH,site-3f7ebf781b4c,2037,11TH,"2031, 2037, 2043 & 2047 11th Street between Michigan Ave. and Church St. in a B4 zone (General Business District)-City Council District #6",11TH,08007252.010,2037 11TH ST UNIT 10,exact,
bza-184-17-b3de95c28c,2019-09-17:184-17:1,2037:11TH,site-3f7ebf781b4c,2037,11TH,"2031, 2037, 2043 & 2047 11th Street between Michigan Ave. and Church St. in a B4 zone (General Business District)-City Council District #6",11TH,08007252.009,2037 11TH ST UNIT 9,exact,
bza-184-17-b3de95c28c,2019-09-17:184-17:1,2037:11TH,site-3f7ebf781b4c,2037,11TH,"2031, 2037, 2043 & 2047 11th Street between Michigan Ave. and Church St. in a B4 zone (General Business District)-City Council District #6",11TH,08007252.008,2037 11TH ST UNIT 8,exact,
bza-184-17-b3de95c28c,2019-09-17:184-17:1,2037:11TH,site-3f7ebf781b4c,2037,11TH,"2031, 2037, 2043 & 2047 11th Street between Michigan Ave. and Church St. in a B4 zone (General Business District)-City Council District #6",11TH,08007252.001,2037 11TH ST UNIT 1,exact,
bza-184-17-b3de95c28c,2019-09-17:184-17:1,2037:11TH,site-3f7ebf781b4c,2037,11TH,"2031, 2037, 2043 & 2047 11th Street between Michigan Ave. and Church St. in a B4 zone (General Business District)-City Council District #6",11TH,08007252.002,2037 11TH ST UNIT 2,exact,
bza-184-17-b3de95c28c,2019-09-17:184-17:1,2037:11TH,site-3f7ebf781b4c,2037,11TH,"2031, 2037, 2043 & 2047 11th Street between Michigan Ave. and Church St. in a B4 zone (General Business District)-City Council District #6",11TH,08007252.003,2037 11TH ST UNIT 3,exact,
bza-184-17-b3de95c28c,2019-09-17:184-17:1,2037:11TH,site-3f7ebf781b4c,2037,11TH,"2031, 2037, 2043 & 2047 11th Street between Michigan Ave. and Church St. in a B4 zone (General Business District)-City Council District #6",11TH,08007252.004,2037 11TH ST UNIT 4,exact,
bza-184-17-b3de95c28c,2019-09-17:184-17:1,2037:11TH,site-3f7ebf781b4c,2037,11TH,"2031, 2037, 2043 & 2047 11th Street between Michigan Ave. and Church St. in a B4 zone (General Business District)-City Council District #6",11TH,08007252.005,2037 11TH ST UNIT 5,exact,
bza-184-17-b3de95c28c,2019-09-17:184-17:1,2037:11TH,site-3f7ebf781b4c,2037,11TH,"2031, 2037, 2043 & 2047 11th Street between Michigan Ave. and Church St. in a B4 zone (General Business District)-City Council District #6",11TH,08007252.006,2037 11TH ST UNIT 6,exact,
bza-184-17-b3de95c28c,2019-09-17:184-17:1,2037:11TH,site-3f7ebf781b4c,2037,11TH,"2031, 2037, 2043 & 2047 11th Street between Michigan Ave. and Church St. in a B4 zone (General Business District)-City Council District #6",11TH,08007252.007,2037 11TH ST UNIT 7,exact,
bza-184-17-b3de95c28c,2019-09-17:184-17:1,2047:11TH,site-f6f6f491c675,2047,11TH,"2031, 2037, 2043 & 2047 11th Street between Michigan Ave. and Church St. in a B4 zone (General Business District)-City Council District #6",11TH,08007250-1,2047 11TH ST,exact,
bza-47-19-c50f5d7e9b,2019-09-17:47-19:1,12750:MANSFIELD,site-4cc36a54e302,12750,MANSFIELD,12750 Mansfield between Glendale and Fullerton in an M4 zone (Intensive Industrial District)-City Council District #1,MANSFIELD,22057121.001,12750 MANSFIELD,exact,
bza-51-19-16581fdd54,2019-09-17:51-19:1,8700:MILITARY,site-4634492455d7,8700,MILITARY,8700 Military between Linsdale and Joy Rd. in an M4 Zone (Intensive Industrial District)-City Council District #6,MILITARY,16016104.002,8700 MILITARY,exact,
bza-52-19-7051e12b93,2019-09-17:52-19:1,15225:JOY,site-655b8e51fb73,15225,JOY,"15225 Joy Rd. (aka 15217, 15221 & 15235 Joy Rd.) between Sussex and Whitcomb in a B4 Zone (General Business District) City Council District #7",JOY,22002262-9,15225 JOY RD,exact,
bza-22-19-e564f573b6,2019-09-24:22-19:1,22251:W GRAND RIVER,site-3e21eab33339,22251,W GRAND RIVER,22251 W Grand River between Cooley and Redford in a B4 Zone (General Business District),GRAND RIVER,22007494.,22251 W GRAND RIVER,exact,
bza-53-19-966124a009,2019-09-24:53-19:1,5569:14TH,site-e710f83c4e7a,5569,14TH,5569 14th between I-94 Service Dr. and Hudson St. in a B4 zone (General Business District),14TH,10005149.,5569 14TH ST,exact,
bza-56-19-d21ffb627f,2019-10-01:56-19:1,10:W MCNICHOLS,site-e1d6720c8537,10,W MCNICHOLS,10 thru 36 W McNichols Rd between Woodward and John R in a B4 Zone (General Business District)-City Council District #2,MCNICHOLS,01004397-402,10 W MCNICHOLS,exact,
bza-57-19-8dd8e8bb14,2019-10-01:57-19:1,14520:HARBOR ISLAND,site-58e59c2e017a,14520,HARBOR ISLAND,14520 Harbor Island between Alter Rd and Lakewood in a R1 zone (Single-Family Residential District)-City Council District #4,HARBOR ISLAND,21000197.,14520 HARBOR ISLAND,exact,
bza-71-19-ed59cd56e2,2019-10-01:71-19:1,14600:HARBOR ISLAND,site-d71923f8a495,14600,HARBOR ISLAND,14600 Harbor Island between Alter Rd and Lakewood in a R1 zone (Single-Family Residential District)-City Council District #4,HARBOR ISLAND,21000188.,14600 HARBOR ISLAND,exact,
bza-58-19-df53c91db1,2019-10-08:58-19:1,7235:GREENVIEW,site-9bea29d4e8ef,7235,GREENVIEW,7235 GREENVIEW between W. Warren and Sawyer in a R1 zone (Single-Family Residential District)-City Council District #1,GREENVIEW,22080705-6,7235 GREENVIEW,exact,
bza-60-19-c1f3b6a77d,2019-10-08:60-19:1,12727:GREENFIELD,site-235fd53448ea,12727,GREENFIELD,12727 GREENFIELD between Glendale and Fullerton in a M4 Zone (Intensive Industrial District)-City Council District #2,GREENFIELD,22050983-4,12727 GREENFIELD,exact,
bza-78-19-9477858622,2019-10-08:78-19:1,12830:ESSEX,site-cbb984d34af5,12830,ESSEX,12830 ESSEX between Kitchner and Continental in a R2 zone (Two-Family Residential District)-City Council District #4,ESSEX,21048250.,12830 ESSEX,exact,
bza-62-19-80921f9b24,2019-10-15:62-19:1,7446:W WARREN,site-06fda5a86649,7446,W WARREN,"7410, 7414, 7418, 7422, 7432, 7438 & 7446 W. Warren between Prairie and American in a B4 zone (General Business District)-City Council District #6",WARREN,18003588-96,7446 W WARREN,exact,
bza-63-19-7f94d4aa9b,2019-10-15:63-19:1,7041:W WARREN,site-17360d0e9c4f,7041,W WARREN,"7041, 7047, 7051, 7101, 7111 W. Warren between Proctor and Weatherby in a B4 zone (General Business District).-City Council District #6",WARREN,18003511-5,7041 W WARREN,exact,
bza-97-17-ef5e8042d9,2019-10-15:97-17:1,18700:FITZPATRICK,site-5737da3a7829,18700,FITZPATRICK,18700 Fitzpatrick St Between: Warwick St and Brace St in a M2 Zone (Restricted Industrial District) City Council District #7,FITZPATRICK,22068081-2,18700 FITZPATRICK,exact,
bza-67-19-dd6df5c915,2019-10-22:67-19:1,17405:LAHSER,site-c49387187648,17405,LAHSER,17405 Lahser & 17371 Redford between Redford and Willmarth in a B4 zone (General Business District),LAHSER,22014197.,17405 LAHSER,exact,
bza-67-19-dd6df5c915,2019-10-22:67-19:1,17371:REDFORD,site-51efcc4b375f,17371,REDFORD,17405 Lahser & 17371 Redford between Redford and Willmarth in a B4 zone (General Business District),REDFORD,22014196.,17371 REDFORD,exact,
bza-73-19-34f97db8c8,2019-11-19:73-19:1,16980:W WARREN,site-48ab51b8c9f1,16980,W WARREN,16980 W. Warren between Clayburn and Rutland in a B4 zone (General Business District).-City Council District #5,WARREN,22000775-80,16980 W WARREN,exact,
