case_history_id,category,classification_sources,evidence
bza-20-25-6131a2cc71,administrative_or_community_appeal,direct,"[""appeals of administrative decisions and 50-3-281- general approval"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-21-24-b752b33f22,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination""]"
bza-21-25-dcb8d4f773,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""request review of bseed denial""]"
bza-22-19-e564f573b6,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-23-21-5de6ae3a94,administrative_or_community_appeal,direct,"[""appeals bseed’s decision"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination""]"
bza-26-21-b04c2ad13b,administrative_or_community_appeal,direct|inherited_case_history,"[""appeals of administrative decisions and sec. 50-3-281 general approval"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-27-19-79df09a810,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-27-23-9c40617de8,administrative_or_community_appeal,direct,"[""appeals. deficient off-street parking. ( - permitted dimensional variances and 50-4-121 approval""]"
bza-28-25-d2fb7bb161,administrative_or_community_appeal,direct,"[""appeals (bza) hearing is required. ( - permitted dimensional variances and 50-4-121 approval""]"
bza-33-21-ebd11a8b91,administrative_or_community_appeal,direct,"[""appeals building, safety, engineering and environmental department’s (bseed) decision"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination""]"
bza-34-24-0550ac5afc,administrative_or_community_appeal,direct,"[""appeals before a building permit can be issued. ( permitted dimensional variances and 50-4-121 approval""]"
bza-36-24-25e89f7eb8,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-37-23-9ef40df08c,administrative_or_community_appeal,direct,"[""appeals. - permitted dimensional variances and 50-4-121 approval""]"
bza-4-20-e38716d808,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-4-21-25f351c9e7,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-4-23-9c77a16125,administrative_or_community_appeal,direct,"[""appeals 50-4-197 additional forms of relief and 50-4-121 approval"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination""]"
bza-41-21-988b579aea,administrative_or_community_appeal,direct,"[""appeals prior to issuance of permits. ( - permitted dimensional variances and 50-4-121 approval""]"
bza-41-23-556360fc27,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-43-19-df0b0c111b,administrative_or_community_appeal,direct,"[""appeals based on the approval""]"
bza-44-20-29912dcf2c,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision"", ""appeals within fourteen (14) days of the date of the department’s decision""]"
bza-47-19-c50f5d7e9b,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-48-21-6842fc0027,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-48-22-a38616f516,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-49-21-1a9cf8794a,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-49-22-8cce07fda5,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision"", ""appeals, 50-3-281. general approval""]"
bza-51-19-16581fdd54,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-52-19-7051e12b93,administrative_or_community_appeal,direct,"[""appeals of administrative decisions and 61-3-231 approval"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision"", ""appeals within fourteen (14) days of the date of the department's decision""]"
bza-53-18-249a9f612c,administrative_or_community_appeal,direct,"[""appeals and requests to reverse the decision"", ""appeals of administrative decisions and 61-3-231 general approval"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""requests to reverse the decision""]"
bza-53-22-f89cd6be57,administrative_or_community_appeal,direct,"[""appeals prior to issuance of a building permit. ( - permitted dimensional variances and 50-4-121 approval""]"
bza-54-19-b25700d41d,administrative_or_community_appeal,direct,"[""appeals based on the approval""]"
bza-56-22-ec38b25482,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision"", ""appeals, 50-3-281. general approval""]"
bza-56-23-c15a6bc544,administrative_or_community_appeal,direct,"[""appeals of administrative decisions and 50-3-171 thru 50-3-281- general approval"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision"", ""appeals the decision of the buildings safety and engineering and environmental department slu2023-00042 decision""]"
bza-56-24-ac697c2a02,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-57-18-3495b99b21,administrative_or_community_appeal,direct,"[""appealed because a revised bseed decision"", ""appeals the decision"", ""appeals the decision of the buildings safety engineering and environmental department's corrected decision"", ""appeals the decision of the buildings safety engineering and environmental department’s corrected decision""]"
bza-57-24-083f13055b,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from, and review any order, requirement, decision, or determination""]"
bza-59-21-1c38dd3618,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination""]"
bza-6-25-1d092416b3,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-60-19-c1f3b6a77d,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-62-19-80921f9b24,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-63-19-7f94d4aa9b,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-64-19-20a7b65020,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-64-22-591273173f,administrative_or_community_appeal,direct,"[""appealing to seek relief from regulations in this zoning ordinance on the basis that the denial"", ""appeals 50-4-197 additional forms of relief and 50-4-121 approval"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination""]"
bza-66-19-63716eb5c4,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-68-18-995664bec8,administrative_or_community_appeal,direct,"[""appeals and requests to reverse the decision"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""requests to reverse the decision""]"
bza-7-22-e8bc45c9d7,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-70-21-c405bd7cdb,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination""]"
bza-71-22-235ad6936d,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-72-18-196a5b43c0,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals within fourteen (14) days of the date of the department’s decision"", ""requests to reverse the decision""]"
bza-73-19-34f97db8c8,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-73-21-281525e794,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination""]"
bza-74-21-4b77c7f140,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination""]"
bza-75-18-7d8e616722,administrative_or_community_appeal,direct,"[""appeals and requests to reverse the decision"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""requests to reverse the decision""]"
bza-76-18-cbc171d150,administrative_or_community_appeal,direct,"[""appeals and requests to reverse the decision"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""requests to reverse the decision""]"
bza-76-19-8948b8b0cf,administrative_or_community_appeal,direct,"[""appeals and requests to reverse the decision"", ""requests to reverse the decision""]"
bza-77-18-95afed9f1e,administrative_or_community_appeal,direct,"[""appeals and requests to reverse the decision"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""requests to reverse the decision""]"
bza-79-21-52fddd53d5,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination""]"
bza-8-19-5feed4f6f4,administrative_or_community_appeal,direct,"[""appeals and requests to reverse the decision"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""requests to reverse the decision""]"
bza-8-21-6178c7b555,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-8-22-922c1bb173,administrative_or_community_appeal,direct,"[""appeals: per ( - permitted dimensional variances and 50-4-121 approval""]"
bza-8-24-a24c88c868,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-80-21-7cf4389d0b,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-82-21-76e3fe3dd8,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-9-19-4602d22e22,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-9-24-bb584396c6,administrative_or_community_appeal,direct,"[""appeals prior to permit submission. 50-4-131 (6)- permitted dimensional variances and 50-4-121 approval""]"
bza-94-19-5002df6378,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-95-19-765c392d3a,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals within fourteen (14) days of the date of the department’s decision""]"
bza-96-19-4b9e83ce6d,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-97-17-ef5e8042d9,administrative_or_community_appeal,direct,"[""appealing to seek relief from regulations in this zoning ordinance on the basis that the denial""]"
bza-98-19-99e1df0223,administrative_or_community_appeal,direct,"[""appeals based on the approval""]"
bza-bseed-slu2019-000186-e221339ca6,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseed-slu2019-00063-6cba26170a,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseed-slu2019-00094-community-appeal-74dfdc0253,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseed-slu2019-00141-e642903056,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseed-slu2020-00137-78ddfd97ee,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseed-slu2021-00077-bd9c3a9d09,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseed-slu2022-00038-7072ea4ca4,administrative_or_community_appeal,direct,"[""appeals the decision"", ""reversal of the decision""]"
bza-bseed-slu2022-00042-fcd0ff29b5,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseed-slu2022-00181-f4fb048e7f,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseed-slu2023-00014-community-appeal-8b680b85f6,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseed-slu2023-00053-66b77370f6,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseed-slu2023-00093-1af72b8cea,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseed-slu2024-00043-35e34d484b,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseed-slu2024-00062-b94c40c39e,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseed-slu2024-00101-0b090eb0d2,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseed-slu2024-0060-b144f712f9,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseedslu2023-00014-500488c05f,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bseedslu2023-00014-community-appeal-f0d68c60e5,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bssed-slu2021-00023-spr2021-00009-cb7a323150,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bza-slu2024-00172-c17cdfcf89,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-bza2025-00049-131db941ce,administrative_or_community_appeal,direct,"[""appeals of administrative decisions and 50-3-281- general approval"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-slu2020-00137-2c185677d8,administrative_or_community_appeal,direct,"[""community appeal""]"
bza-slu2021-00023-547efa3864,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-02-23-09191613e4,dimensional_relief_unspecified,route_only,[]
bza-05-21-9b7c537c06,dimensional_relief_unspecified,route_only,[]
bza-05-23-5a53c91971,dimensional_relief_unspecified,route_only,[]
bza-09-23-2b90c325ff,dimensional_relief_unspecified,route_only,[]
bza-11-21-2065af5007,dimensional_relief_unspecified,route_only,[]
bza-12-25-67c0867482,dimensional_relief_unspecified,route_only,[]
bza-15-24-43336a40f9,dimensional_relief_unspecified,route_only,[]
bza-16-21-6706391ca7,dimensional_relief_unspecified,route_only,[]
bza-16-25-aaaaa5d0aa,dimensional_relief_unspecified,route_only,[]
bza-17-20-4f7a090036,dimensional_relief_unspecified,route_only,[]
bza-17-25-97935d5a5c,dimensional_relief_unspecified,route_only,[]
bza-19-21-15219721d5,dimensional_relief_unspecified,route_only,[]
bza-22-21-a0cae37c6a,dimensional_relief_unspecified,route_only,[]
bza-22-24-5c0940c4c3,dimensional_relief_unspecified,route_only,[]
bza-23-24-52267c8cf9,dimensional_relief_unspecified,route_only,[]
bza-26-24-8498a9e0ce,dimensional_relief_unspecified,route_only,[]
bza-26-25-7703d8a4a4,dimensional_relief_unspecified,route_only,[]
bza-27-21-a56d8905f7,dimensional_relief_unspecified,route_only,[]
bza-28-19-9c30f8d441,dimensional_relief_unspecified,route_only,[]
bza-28-21-05880fccc0,dimensional_relief_unspecified,route_only,[]
bza-28-23-32856cc88a,dimensional_relief_unspecified,route_only,[]
bza-28-24-a82f3aaf57,dimensional_relief_unspecified,route_only,[]
bza-29-21-cd232a5ef8,dimensional_relief_unspecified,route_only,[]
bza-3-21-cee9bd7f02,dimensional_relief_unspecified,route_only,[]
bza-3-24-b561a47236,dimensional_relief_unspecified,route_only,[]
bza-3-25-36721a5eeb,dimensional_relief_unspecified,route_only,[]
bza-30-19-9c0b26b104,dimensional_relief_unspecified,route_only,[]
bza-30-24-94d9984635,dimensional_relief_unspecified,route_only,[]
bza-36-21-dce8b705cb,dimensional_relief_unspecified,route_only,[]
bza-37-22-b17d680e46,dimensional_relief_unspecified,route_only,[]
bza-38-22-38ba18ce36,dimensional_relief_unspecified,route_only,[]
bza-4-19-9704261508,dimensional_relief_unspecified,route_only,[]
bza-4-25-34d6c95571,dimensional_relief_unspecified,route_only,[]
bza-40-21-241d47ced9,dimensional_relief_unspecified,route_only,[]
bza-40-23-012c2b298a,dimensional_relief_unspecified,route_only,[]
bza-41-22-15dfb8ba06,dimensional_relief_unspecified,route_only,[]
bza-42-19-2143d12bd7,dimensional_relief_unspecified,route_only,[]
bza-44-24-a72911911c,dimensional_relief_unspecified,route_only,[]
bza-45-22-ac51806c35,dimensional_relief_unspecified,route_only,[]
bza-46-24-04961161fb,dimensional_relief_unspecified,route_only,[]
bza-48-19-35b257663a,dimensional_relief_unspecified,route_only,[]
bza-48-24-4a6b166e25,dimensional_relief_unspecified,route_only,[]
bza-5-19-2dc104a2e6,dimensional_relief_unspecified,route_only,[]
bza-5-20-fc09d791a0,dimensional_relief_unspecified,route_only,[]
bza-53-24-56e59115b1,dimensional_relief_unspecified,route_only,[]
bza-55-21-48ef6cb9d1,dimensional_relief_unspecified,route_only,[]
bza-56-19-d21ffb627f,dimensional_relief_unspecified,route_only,[]
bza-57-22-29d327c7bd,dimensional_relief_unspecified,route_only,[]
bza-58-19-df53c91db1,dimensional_relief_unspecified,route_only,[]
bza-6-20-21fe579224,dimensional_relief_unspecified,route_only,[]
bza-60-22-958ec66e06,dimensional_relief_unspecified,route_only,[]
bza-61-19-4e42da9805,dimensional_relief_unspecified,route_only,[]
bza-61-21-d38fa68bf4,dimensional_relief_unspecified,route_only,[]
bza-66-22-a6e0b1dc18,dimensional_relief_unspecified,route_only,[]
bza-67-19-dd6df5c915,dimensional_relief_unspecified,route_only,[]
bza-67-21-1beb30943a,dimensional_relief_unspecified,route_only,[]
bza-7-19-8a6c93d171,dimensional_relief_unspecified,route_only,[]
bza-7-20-39fc390e6c,dimensional_relief_unspecified,route_only,[]
bza-7-24-5ad1c5fa16,dimensional_relief_unspecified,route_only,[]
bza-71-19-ed59cd56e2,dimensional_relief_unspecified,route_only,[]
bza-72-19-be782cacfd,dimensional_relief_unspecified,route_only,[]
bza-75-19-9591bc33b1,dimensional_relief_unspecified,route_only,[]
bza-75-21-9044d745bd,dimensional_relief_unspecified,route_only,[]
bza-75-22-e3fe10778e,dimensional_relief_unspecified,route_only,[]
bza-77-21-46450fedf6,dimensional_relief_unspecified,route_only,[]
bza-79-24-03fe91ef07,dimensional_relief_unspecified,route_only,[]
bza-83-24-c9e72204a7,dimensional_relief_unspecified,route_only,[]
bza-85-19-b0b1323990,dimensional_relief_unspecified,route_only,[]
bza-9-20-68007fc307,dimensional_relief_unspecified,route_only,[]
bza-91-19-9b79c42287,dimensional_relief_unspecified,route_only,[]
bza-97-19-459bd7f671,dimensional_relief_unspecified,route_only,[]
bza-1-20-b402ab3506,fences_walls,direct,"[""fence proposed""]"
bza-1-21-97e069a509,floor_area_bulk,direct,"[""excessive floor area ratio""]"
bza-104-19-3f504bb48a,floor_area_bulk,direct,"[""maximum building footprint""]"
bza-23-21-67b09caf30,floor_area_bulk,direct,"[""excessive floor area ratio""]"
bza-29-23-1e6ae3ddb9,floor_area_bulk,direct,"[""excessive floor area ratio""]"
bza-33-23-9df1fa2044,floor_area_bulk,direct,"[""maximum floor area ratio""]"
bza-56-21-13962dbe62,floor_area_bulk,direct,"[""excessive floor area ratio""]"
bza-70-21-c405bd7cdb,floor_area_bulk,direct,"[""excessive building footprint""]"
bza-2-24-a52a3386d9,hardship_relief,direct,"[""hardship relief""]"
bza-4-23-9c77a16125,hardship_relief,direct,"[""hardship relief""]"
bza-40-20-36fcdb76ae,hardship_relief,direct|inherited_case_history,"[""hardship relief""]"
bza-42-21-7411c236b8,hardship_relief,direct,"[""hardship relief""]"
bza-43-24-4bc5821238,hardship_relief,direct,"[""hardship relief""]"
bza-50-24-10e21a7cea,hardship_relief,direct,"[""hardship relief""]"
bza-6-19-2b90e3b9d9,hardship_relief,direct|inherited_case_history,"[""hardship relief""]"
bza-61-18-2008f817ed,hardship_relief,direct,"[""hardship relief""]"
bza-63-24-ee881c1b59,hardship_relief,direct,"[""hardship relief""]"
bza-64-22-591273173f,hardship_relief,direct,"[""hardship relief""]"
bza-78-24-65be9f6b24,hardship_relief,direct,"[""hardship relief""]"
bza-87-19-86a1450728,hardship_relief,direct|inherited_case_history,"[""hardship relief""]"
bza-01-19-6ca8bb24fa,height,direct,"[""maximum building height""]"
bza-1-19-b17dd09224,height,direct,"[""maximum building height""]"
bza-106-19-ac2502a929,height,direct,"[""maximum building height""]"
bza-19-24-5152521f4c,height,direct,"[""excessive height"", ""maximum height""]"
bza-22-23-4eb0024be7,height,direct,"[""excessive height""]"
bza-23-21-67b09caf30,height,direct,"[""excessive height"", ""maximum height""]"
bza-24-25-67f735277c,height,direct,"[""excessive height""]"
bza-25-20-0c7c6c8bde,height,direct,"[""excessive building height"", ""height allowed"", ""maximum height""]"
bza-29-25-7515a970f7,height,direct,"[""excessive building height""]"
bza-30-21-d888c96eb5,height,direct,"[""excessive height""]"
bza-33-19-ccbe2c0b37,height,direct,"[""excessive height"", ""maximum height""]"
bza-39-24-fc8328dfcb,height,direct,"[""excessive height"", ""maximum height""]"
bza-4-24-1781607356,height,direct,"[""excessive height""]"
bza-51-22-07f10681c0,height,direct,"[""excessive height""]"
bza-65-19-ece5db0d26,height,direct,"[""excessive sign height""]"
bza-68-24-956bfd6d3d,height,direct,"[""excessive height""]"
bza-86-24-15baadd557,height,direct,"[""excessive height""]"
bza-9-22-9fe538539b,height,direct,"[""excessive height""]"
bza-18-24-b7d9862137,loading,direct,"[""deficient off-street loading""]"
bza-1-21-97e069a509,lot_coverage,direct,"[""excessive lot coverage""]"
bza-13-24-797c117868,lot_coverage,direct,"[""excessive lot coverage""]"
bza-14-25-61fbd5eb1b,lot_coverage,direct,"[""excessive lot coverage""]"
bza-20-23-dab8c7b9c0,lot_coverage,direct,"[""excessive lot coverage""]"
bza-22-23-4eb0024be7,lot_coverage,direct,"[""excessive lot coverage""]"
bza-22-25-831f730788,lot_coverage,direct,"[""excessive lot coverage""]"
bza-28-20-22cfec2a50,lot_coverage,direct,"[""excessive lot coverage"", ""maximum lot coverage""]"
bza-37-24-f961ca02ca,lot_coverage,direct,"[""maximum lot coverage""]"
bza-41-19-e5976ad285,lot_coverage,direct,"[""maximum lot coverage""]"
bza-42-22-b5f8284c87,lot_coverage,direct,"[""maximum lot coverage""]"
bza-44-21-19025a6ffc,lot_coverage,direct,"[""excessive lot coverage""]"
bza-45-21-6ac1bdcc56,lot_coverage,direct,"[""excessive lot coverage""]"
bza-46-19-c14dfe54e8,lot_coverage,direct,"[""lot coverage required""]"
bza-46-22-492c5e629d,lot_coverage,direct,"[""excessive lot coverage""]"
bza-49-19-171a94dba8,lot_coverage,direct,"[""maximum lot coverage""]"
bza-50-19-a14aec6068,lot_coverage,direct,"[""maximum lot coverage""]"
bza-50-22-e2dd6e5b59,lot_coverage,direct,"[""excessive lot coverage""]"
bza-54-24-ed802c4239,lot_coverage,direct,"[""excessive lot coverage""]"
bza-56-21-13962dbe62,lot_coverage,direct,"[""maximum lot coverage""]"
bza-57-19-8dd8e8bb14,lot_coverage,direct,"[""lot coverage allowed"", ""maximum lot coverage""]"
bza-59-22-b75dd5795b,lot_coverage,direct,"[""excessive lot coverage""]"
bza-61-22-401fb1319a,lot_coverage,direct,"[""excessive lot coverage""]"
bza-62-24-e9793916e2,lot_coverage,direct,"[""excessive lot coverage""]"
bza-63-22-01da7e63d3,lot_coverage,direct,"[""maximum lot coverage""]"
bza-70-22-983cbd4b8b,lot_coverage,direct,"[""excessive lot coverage"", ""lot coverage allowed""]"
bza-81-21-7685eb2595,lot_coverage,direct,"[""excessive lot coverage""]"
bza-84-19-5eb320fb4c,lot_coverage,direct,"[""maximum lot coverage""]"
bza-9-25-8fbe580481,lot_coverage,direct,"[""excessive lot coverage""]"
bza-bza2025-00048-3d30f83bb6,lot_coverage,direct,"[""excessive lot coverage""]"
bza-bza2026-00009-e187ef5c5d,lot_coverage,direct,"[""excessive lot coverage""]"
bza-01-19-6ca8bb24fa,lot_dimensions,direct,"[""minimum lot area"", ""minimum lot width""]"
bza-07-23-9b431ff07a,lot_dimensions,direct,"[""excessive lot width"", ""lot width proposed""]"
bza-1-19-b17dd09224,lot_dimensions,direct,"[""minimum lot area"", ""minimum lot width""]"
bza-14-25-61fbd5eb1b,lot_dimensions,direct,"[""minimum lot size""]"
bza-18-23-535a07c23f,lot_dimensions,direct,"[""deficient lot area""]"
bza-21-23-1b926e9998,lot_dimensions,direct,"[""excessive lot width""]"
bza-22-23-4eb0024be7,lot_dimensions,direct,"[""excessive lot size""]"
bza-24-19-98cd3d897f,lot_dimensions,direct,"[""lot size required""]"
bza-25-23-d87a52a78b,lot_dimensions,direct,"[""deficient lot size""]"
