occurrence_id,case_history_id,case_number,meeting_date,decision_status,decision,decision_basis,source_file
2019-03-19:79-18:1,bza-79-18-d186bad83f,79-18,2019-03-19,decided,SPACING/LOCATIONAL VARIANCE GRANTED,recorded_disposition,2019-03-19_bza_minutes.pdf
2019-03-26:06-17:1,bza-06-17-1938c13e88,06-17,2019-03-26,decided,SPACING/LOCATIONAL VARIANCE DENIED,recorded_disposition,2019-03-26_bza_minutes.pdf
2019-03-26:2-19:1,bza-2-19-dafba32633,2-19,2019-03-26,decided,DIMENSIONAL VARIANCE GRANTED,recorded_disposition,2019-03-26_bza_minutes.pdf
2019-03-26:4-19:1,bza-4-19-9704261508,4-19,2019-03-26,decided,DIMENSIONAL VARIANCES GRANTED,recorded_disposition,2019-03-26_bza_minutes.pdf
2019-03-26:57-18:1,bza-57-18-3495b99b21,57-18,2019-03-26,postponed,ADJOURNED WITHOUT DATE AND WITH FEE,recorded_disposition,2019-03-26_bza_minutes.pdf
2019-03-26:79-18:1,bza-79-18-d186bad83f,79-18,2019-03-26,decided,MOTION FAILS DUE TO VOTE COUNT. ORIGINAL MOTION TO APPROVE STANDS.,recorded_disposition,2019-03-26_bza_minutes.pdf
2019-04-02:7-19:1,bza-7-19-8a6c93d171,7-19,2019-04-02,decided,DIMENSIONAL VARIANCE GRANTED,recorded_disposition,2019-04-02_bza_minutes.pdf
2019-04-02:8-19:1,bza-8-19-5feed4f6f4,8-19,2019-04-02,postponed,"ADJOURNED TO APRIL 9, 2019 with no further notification",recorded_disposition,2019-04-02_bza_minutes.pdf
2019-04-02:9-19:1,bza-9-19-4602d22e22,9-19,2019-04-02,decided,AFFIRMED DRUG FREE ZONE,recorded_disposition,2019-04-02_bza_minutes.pdf
2019-04-23:12-19:1,bza-12-19-8f68a059f3,12-19,2019-04-23,decided,DIMENSIONAL (Parking) VARIANCE GRANTED,recorded_disposition,2019-04-23_bza_minutes.pdf
2019-04-23:14-19:1,bza-14-19-184cee7e49,14-19,2019-04-23,decided,DIMENSIONAL VARIANCE GRANTED,recorded_disposition,2019-04-23_bza_minutes.pdf
2019-04-23:15-19:1,bza-15-19-dccd43859a,15-19,2019-04-23,postponed,ADJOURNED WITHOUT DATE,recorded_disposition,2019-04-23_bza_minutes.pdf
2019-04-23:49-18:1,bza-49-18-7931dced47,49-18,2019-04-23,postponed,"ADJOURNED TO MAY 7, 2019",recorded_disposition,2019-04-23_bza_minutes.pdf
2019-05-07:16-19:1,bza-16-19-80a654a895,16-19,2019-05-07,decided,DIMENSIONAL VARIANCE GRANTED,recorded_disposition,2019-05-07_bza_minutes.pdf
2019-05-07:17-19:1,bza-17-19-f5959a3b07,17-19,2019-05-07,decided,MODIFICATION GRANTED,recorded_disposition,2019-05-07_bza_minutes.pdf
2019-05-07:49-18:1,bza-49-18-7931dced47,49-18,2019-05-07,decided,SPACING/LOCATIONAL VARIANCE GRANTED,recorded_disposition,2019-05-07_bza_minutes.pdf
2019-05-07:94-17:1,bza-94-17-ef14740afe,94-17,2019-05-07,decided,SPACING VARIANCE DENIED,recorded_disposition,2019-05-07_bza_minutes.pdf
2019-05-14:20-19:1,bza-20-19-f02fd63021,20-19,2019-05-14,decided,RE-HEARING REQUEST DENIED,recorded_disposition,2019-05-14_bza_minutes.pdf
2019-05-14:30-19:1,bza-30-19-9c0b26b104,30-19,2019-05-14,decided,DIMENSIONAL VARIANCE GRANTED,recorded_disposition,2019-05-14_bza_minutes.pdf
2019-05-14:57-18:1,bza-57-18-3495b99b21,57-18,2019-05-14,postponed,ADJOURNED WITHOUT DATE AND WITH FEE,recorded_disposition,2019-05-14_bza_minutes.pdf
2019-06-11:24-19:1,bza-24-19-98cd3d897f,24-19,2019-06-11,decided,DIMENSIONAL VARIANCE GRANTED,recorded_disposition,2019-06-11_bza_minutes_1.pdf
2019-06-11:27-19:1,bza-27-19-79df09a810,27-19,2019-06-11,postponed,ADJOURNED WITH FEE AND WITHOUT DATE,recorded_disposition,2019-06-11_bza_minutes_1.pdf
2019-06-11:28-19:1,bza-28-19-9c30f8d441,28-19,2019-06-11,decided,DIMENSIONAL VARIANCE GRANTED,recorded_disposition,2019-06-11_bza_minutes_1.pdf
2019-06-18:29-19:1,bza-29-19-be10fad016,29-19,2019-06-18,dismissed,CASE DISMISSED,recorded_disposition,2019-06-18_bza_minutes.pdf
2019-06-18:31-19:1,bza-31-19-2cf7ef7116,31-19,2019-06-18,decided,CHANGE OF NON CONFORMING USE GRANTED,recorded_disposition,2019-06-18_bza_minutes.pdf
2019-06-18:33-19:1,bza-33-19-ccbe2c0b37,33-19,2019-06-18,decided,DIMENSIONAL VARIANCE GRANTED,recorded_disposition,2019-06-18_bza_minutes.pdf
2019-07-09:34-19:1,bza-34-19-e402408898,34-19,2019-07-09,decided,DIMENSIONAL VARIANCE GRANTED,recorded_disposition,2019-07-09_bza_minutes.pdf
2019-07-09:42-19:1,bza-42-19-2143d12bd7,42-19,2019-07-09,decided,DIMENSIONALVARIANCES GRANTED,recorded_disposition,2019-07-09_bza_minutes.pdf
2019-07-09:44-19:1,bza-44-19-3332e2b636,44-19,2019-07-09,decided,DIMENSIONAL VARIANCE GRANTED,recorded_disposition,2019-07-09_bza_minutes.pdf
2019-07-09:48-19:1,bza-48-19-35b257663a,48-19,2019-07-09,decided,EXPEDIATED HEARING DATE GRANTED,recorded_disposition,2019-07-09_bza_minutes.pdf
2019-07-23:13-19:1,bza-13-19-d1848d1cb5,13-19,2019-07-23,decided,DIMENSIONALVARIANCES GRANTED,recorded_disposition,2019-07-23_bza_minutes.pdf
2019-07-23:39-19:1,bza-39-19-5ad28b381f,39-19,2019-07-23,dismissed,CASES DISMISSED,recorded_disposition,2019-07-23_bza_minutes.pdf
2019-07-23:41-19:1,bza-41-19-e5976ad285,41-19,2019-07-23,decided,DIMENSIONAL VARIANCE GRANTED,recorded_disposition,2019-07-23_bza_minutes.pdf
2019-07-23:76-18:1,bza-76-18-cbc171d150,76-18,2019-07-23,decided,RE-HEARING REQUEST GRANTED,recorded_disposition,2019-07-23_bza_minutes.pdf
2019-07-23:80-17:1,bza-80-17-303a06ac56,80-17,2019-07-23,decided,Spacing/Locational Variance Granted,recorded_disposition,2019-07-23_bza_minutes.pdf
2019-08-13:35-19:1,bza-35-19-a7022fa187,35-19,2019-08-13,decided,CHANGE OF NON CONFORMING USE GRANTED,recorded_disposition,2019-08-13_bza_minutes.pdf
2019-08-13:36-19:1,bza-36-19-2ede43fee8,36-19,2019-08-13,dismissed,CASES DISMISSED,recorded_disposition,2019-08-13_bza_minutes.pdf
2019-08-13:39-19:1,bza-39-19-5ad28b381f,39-19,2019-08-13,dismissed,CASES DISMISSED,recorded_disposition,2019-08-13_bza_minutes.pdf
2019-08-13:48-19:1,bza-48-19-35b257663a,48-19,2019-08-13,decided,,,2019-08-13_bza_minutes.pdf
2019-08-13:54-19:1,bza-54-19-b25700d41d,54-19,2019-08-13,decided,DIMENSIONALVARIANCES GRANTED,recorded_disposition,2019-08-13_bza_minutes.pdf
2019-08-13:57-18:1,bza-57-18-3495b99b21,57-18,2019-08-13,decided,BSEED DECISION AFFIRMED/ DRUG FREE ZONE,recorded_disposition,2019-08-13_bza_minutes.pdf
2019-08-13:76-18:1,bza-76-18-cbc171d150,76-18,2019-08-13,decided,RE-HEARING REQUEST GRANTED,recorded_disposition,2019-08-13_bza_minutes.pdf
2019-08-20:37-19:1,bza-37-19-b5facb6e4c,37-19,2019-08-20,postponed,,,2019-08-20_bza_minutes.pdf
2019-08-20:38-19:1,bza-38-19-f657c9531f,38-19,2019-08-20,postponed,,,2019-08-20_bza_minutes.pdf
2019-08-20:40-19:1,bza-40-19-aae5d99948,40-19,2019-08-20,postponed,,,2019-08-20_bza_minutes.pdf
2019-08-20:43-19:1,bza-43-19-df0b0c111b,43-19,2019-08-20,postponed,,,2019-08-20_bza_minutes.pdf
2019-08-27:37-19:1,bza-37-19-b5facb6e4c,37-19,2019-08-27,dismissed,CASE DISMISSED,recorded_disposition,2019-08-27_bza_minutes.pdf
2019-08-27:46-19:1,bza-46-19-c14dfe54e8,46-19,2019-08-27,decided,DIMENSIONAL VARIANCES GRANTED,recorded_disposition,2019-08-27_bza_minutes.pdf
2019-08-27:49-19:1,bza-49-19-171a94dba8,49-19,2019-08-27,decided,DIMENSIONAL VARIANCES GRANTED,recorded_disposition,2019-08-27_bza_minutes.pdf
2019-08-27:50-19:1,bza-50-19-a14aec6068,50-19,2019-08-27,decided,DIMENSIONAL VARIANCES GRANTED,recorded_disposition,2019-08-27_bza_minutes.pdf
2019-08-27:57-18:1,bza-57-18-3495b99b21,57-18,2019-08-27,decided,CASE BEING REHEARD DUE TO NEW INFORMATION,recorded_disposition,2019-08-27_bza_minutes.pdf
2019-08-27:65-19:1,bza-65-19-ece5db0d26,65-19,2019-08-27,postponed,ADJOURNED WITHOUT DATE,recorded_disposition,2019-08-27_bza_minutes.pdf
2019-08-27:67-18:1,bza-67-18-3e522c88c3,67-18,2019-08-27,under_advisement,ADVSEMENT,recorded_disposition,2019-08-27_bza_minutes.pdf
2019-09-17:184-17:1,bza-184-17-b3de95c28c,184-17,2019-09-17,decided,"ACCORDING TO THE RULES OF PROCEDURE, MOTION FAILS AND COMMUNITY APPEAL DENIED",recorded_disposition,2019-09-17_bza_minutes.pdf
2019-09-17:43-19:1,bza-43-19-df0b0c111b,43-19,2019-09-17,decided,SPACING VARIANCE DENIED,recorded_disposition,2019-09-17_bza_minutes.pdf
2019-09-17:47-19:1,bza-47-19-c50f5d7e9b,47-19,2019-09-17,decided,"BSEED DECISION UPHELD, USE DENIED",recorded_disposition,2019-09-17_bza_minutes.pdf
2019-09-17:51-19:1,bza-51-19-16581fdd54,51-19,2019-09-17,postponed,ADJOURNED WITH FEE AND WITHOUT DATE,recorded_disposition,2019-09-17_bza_minutes.pdf
2019-09-17:52-19:1,bza-52-19-7051e12b93,52-19,2019-09-17,decided,"BSEED DECISION UPHELD, USE DENIED",recorded_disposition,2019-09-17_bza_minutes.pdf
2019-09-17:67-18:1,bza-67-18-3e522c88c3,67-18,2019-09-17,decided,DIMENSIONAL VARIANCE GRANTED,recorded_disposition,2019-09-17_bza_minutes.pdf
2019-09-24:22-19:1,bza-22-19-e564f573b6,22-19,2019-09-24,decided,"BSEED DECISION REVERSED, EXPANSION GRANTED",recorded_disposition,2019-09-24_bza_minutes_1.pdf
2019-09-24:27-19:1,bza-27-19-79df09a810,27-19,2019-09-24,decided,"BSEED DECISION UPHELD, USE DENIED",recorded_disposition,2019-09-24_bza_minutes_1.pdf
2019-09-24:38-19:1,bza-38-19-f657c9531f,38-19,2019-09-24,decided,PARKING VARIANCE GRANTED,recorded_disposition,2019-09-24_bza_minutes_1.pdf
2019-09-24:53-19:1,bza-53-19-966124a009,53-19,2019-09-24,dismissed,DISMISSED,recorded_disposition,2019-09-24_bza_minutes_1.pdf
2019-10-01:40-19:1,bza-40-19-aae5d99948,40-19,2019-10-01,decided,PARKING VARIANCE GRANTED,recorded_disposition,2019-10-01_bza_minutes.pdf
2019-10-01:55-19:1,bza-55-19-0f4e1aa768,55-19,2019-10-01,decided,SPACING/LOCATIONAL VARIANCE DENIED,recorded_disposition,2019-10-01_bza_minutes.pdf
2019-10-01:56-19:1,bza-56-19-d21ffb627f,56-19,2019-10-01,decided,MODIFICATION OF GRANT CONDITIONS APPROVED,recorded_disposition,2019-10-01_bza_minutes.pdf
2019-10-01:57-19:1,bza-57-19-8dd8e8bb14,57-19,2019-10-01,decided,DIMENSIONALVARIANCES GRANTED,recorded_disposition,2019-10-01_bza_minutes.pdf
2019-10-01:71-19:1,bza-71-19-ed59cd56e2,71-19,2019-10-01,decided,DIMENSIONALVARIANCES GRANTED,recorded_disposition,2019-10-01_bza_minutes.pdf
2019-10-08:58-19:1,bza-58-19-df53c91db1,58-19,2019-10-08,decided,DIMENSIONAL VARIANCES GRANTED,recorded_disposition,2019-10-08_bza_minutes.pdf
2019-10-08:60-19:1,bza-60-19-c1f3b6a77d,60-19,2019-10-08,decided,BSEED DENIAL UPHELD USE DENIED,recorded_disposition,2019-10-08_bza_minutes.pdf
2019-10-08:61-19:1,bza-61-19-4e42da9805,61-19,2019-10-08,decided,PARKING VARIANCE GRANTED,recorded_disposition,2019-10-08_bza_minutes.pdf
2019-10-08:78-19:1,bza-78-19-9477858622,78-19,2019-10-08,decided,DIMENSIONAL PARKING VARIANCES GRANTED,recorded_disposition,2019-10-08_bza_minutes.pdf
2019-10-15:62-19:1,bza-62-19-80921f9b24,62-19,2019-10-15,decided,"BSEED DENIAL UPHELD, USE DENIED",recorded_disposition,2019-10-15_bza_minutes.pdf
2019-10-15:63-19:1,bza-63-19-7f94d4aa9b,63-19,2019-10-15,decided,"BSEED DENIAL REVERSED, USE GRANTED",recorded_disposition,2019-10-15_bza_minutes.pdf
2019-10-15:97-17:1,bza-97-17-ef5e8042d9,97-17,2019-10-15,decided,HARDSHIP RELIEF GRANTED,recorded_disposition,2019-10-15_bza_minutes.pdf
2019-10-22:51-19:1,bza-51-19-16581fdd54,51-19,2019-10-22,decided,BSEED DENIAL REVERSED NOT IN A DRUG FREE ZONE,recorded_disposition,2019-10-22_bza_minutes.pdf
2019-10-22:64-19:1,bza-64-19-20a7b65020,64-19,2019-10-22,decided,"BSEED DENIAL UPHELD, USE DENIED",recorded_disposition,2019-10-22_bza_minutes.pdf
2019-10-22:66-19:1,bza-66-19-63716eb5c4,66-19,2019-10-22,decided,"BSEED DENIAL REVERSED, USE GRANTED",recorded_disposition,2019-10-22_bza_minutes.pdf
2019-10-22:67-19:1,bza-67-19-dd6df5c915,67-19,2019-10-22,postponed,ADJOURNED WITHOUT DATE AND WITHOUT FEE,recorded_disposition,2019-10-22_bza_minutes.pdf
2019-11-19:73-19:1,bza-73-19-34f97db8c8,73-19,2019-11-19,postponed,"ADJOURNED TO DECEMBER 17, 2019",recorded_disposition,2019-11-19_bza_minutes.pdf
2019-11-19:74-19:1,bza-74-19-05e355c7b2,74-19,2019-11-19,decided,CHAGNE OF NON CONFORMING USE GRANTED,recorded_disposition,2019-11-19_bza_minutes.pdf
2019-11-19:75-19:1,bza-75-19-9591bc33b1,75-19,2019-11-19,decided,MODIFICAITON OF GRANT CONDITIONS GRANTED,recorded_disposition,2019-11-19_bza_minutes.pdf
2019-11-19:BSEED SLU2019-00063:1,bza-bseed-slu2019-00063-6cba26170a,BSEED SLU2019-00063,2019-11-19,dismissed,CASE DISMISSED,recorded_disposition,2019-11-19_bza_minutes.pdf
2019-11-26:72-19:1,bza-72-19-be782cacfd,72-19,2019-11-26,decided,MINOR AUTO REPAIR FACILITIY DENIED,recorded_disposition,2019-11-26_bza_minutes.pdf
2019-11-26:76-19:1,bza-76-19-5db6a813e8,76-19,2019-11-26,decided,DIMENSIONAL SIGN VARIANCES GRANTED,recorded_disposition,2019-11-26_bza_minutes.pdf
2019-11-26:76-19:2,bza-76-19-8948b8b0cf,76-19,2019-11-26,decided,RE-HEARING REQUEST DENIED,recorded_disposition,2019-11-26_bza_minutes.pdf
2019-11-26:BSEED SLU2019-00094-COMMUNITY APPEAL:1,bza-bseed-slu2019-00094-community-appeal-74dfdc0253,BSEED SLU2019-00094-COMMUNITY APPEAL,2019-11-26,decided,"BSEED REVERSED, USE DENIED",recorded_disposition,2019-11-26_bza_minutes.pdf
2019-12-03:57-18:1,bza-57-18-3495b99b21,57-18,2019-12-03,decided,BSEED DECISION AFFIRMED/ DRUG FREE ZONE,recorded_disposition,2019-12-03_bza_minutes.pdf
2019-12-03:77-19:1,bza-77-19-a7f510e04a,77-19,2019-12-03,decided,DIMENSIONAL SIGN VARIANCES GRANTED,recorded_disposition,2019-12-03_bza_minutes.pdf
2019-12-03:79-19:1,bza-79-19-51772cbfc9,79-19,2019-12-03,decided,DIMENSIONAL VARIANCES GRANTED,recorded_disposition,2019-12-03_bza_minutes.pdf
2019-12-10:81-19:1,bza-81-19-7c4a7d5065,81-19,2019-12-10,decided,DIMENSIONAL AND SPACING VARIANCES GRANTED,recorded_disposition,2019-12-10_bza_minutes.pdf
2019-12-10:82-19:1,bza-82-19-94ef549a4a,82-19,2019-12-10,decided,CHANGE OF NONCONFORMING USE GRANTED,recorded_disposition,2019-12-10_bza_minutes.pdf
2019-12-10:84-19:1,bza-84-19-5eb320fb4c,84-19,2019-12-10,decided,DIMENSIONAL VARIANCES GRANTED,recorded_disposition,2019-12-10_bza_minutes.pdf
2019-12-17:85-19:1,bza-85-19-b0b1323990,85-19,2019-12-17,decided,TMSO STANDARDS WAIVED,recorded_disposition,2019-12-17_bza_minutes.pdf
2019-12-17:86-19:1,bza-86-19-fdba0c918b,86-19,2019-12-17,decided,DIMENSIONAL VARIANCES GRANTED,recorded_disposition,2019-12-17_bza_minutes.pdf
2019-12-17:89-19:1,bza-89-19-2ba8fd28cf,89-19,2019-12-17,postponed,ADJOURNED WITHOUT DATE AND WITHOUT FEE,recorded_disposition,2019-12-17_bza_minutes.pdf
2019-12-17:97-19:1,bza-97-19-459bd7f671,97-19,2019-12-17,postponed,"ADJOURNED TO JANUARY 28, 2020.",recorded_disposition,2019-12-17_bza_minutes.pdf
2020-02-11:6-19:1,bza-6-19-2b90e3b9d9,6-19,2020-02-11,under_advisement,ADJOURNED WITHOUT DATE AND WITHOUT FEE,recorded_disposition,2020-02-11_bza_minutes.pdf
2020-02-11:87-19:1,bza-87-19-86a1450728,87-19,2020-02-11,no_action,NO ACTION TAKEN DUE TO MORATORIUM.,recorded_disposition,2020-02-11_bza_minutes.pdf
2020-02-11:88-19:1,bza-88-19-07e1969543,88-19,2020-02-11,decided,PARKING VARIANCE GRANTED,recorded_disposition,2020-02-11_bza_minutes.pdf
2020-02-18:105-19:1,bza-105-19-6f26fdbf3e,105-19,2020-02-18,decided,DIMENSIONAL VARIANCES GRANTED,recorded_disposition,2020-02-18_bza_minutes.pdf
2020-02-18:73-19:1,bza-73-19-34f97db8c8,73-19,2020-02-18,under_advisement,ADJOURNED WITHOUT DATE AND WITH FEE,recorded_disposition,2020-02-18_bza_minutes.pdf
2020-02-18:94-19:1,bza-94-19-5002df6378,94-19,2020-02-18,under_advisement,ADJOURNED WITHOUT DATE AND WITH FEE,recorded_disposition,2020-02-18_bza_minutes.pdf
2020-02-25:106-17:1,bza-106-17-de942bc315,106-17,2020-02-25,decided,"BSEED DECISION REVERSED, NOT IN A DRUG FREE ZONE",recorded_disposition,2020-02-25_bza_minutes.pdf
2020-02-25:110-19:1,bza-110-19-6035ce5f01,110-19,2020-02-25,decided,DIMENSIONAL (PARKING) VARIANCE GRANTED,recorded_disposition,2020-02-25_bza_minutes.pdf
2020-02-25:112-19:1,bza-112-19-8bdcb1c11b,112-19,2020-02-25,decided,DIMENSIONAL (PARKING) VARIANCE GRANTED,recorded_disposition,2020-02-25_bza_minutes.pdf
2020-04-14:5-20:1,bza-5-20-fc09d791a0,5-20,2020-04-14,decided,DIMENSIONAL (PARKING) VARIANCE GRANTED,recorded_disposition,2020-04-14_bza_minutes.pdf
2020-04-14:68-18:1,bza-68-18-995664bec8,68-18,2020-04-14,postponed,ADJOURNED WITHOUT DATE AND WITHOUT FEE,recorded_disposition,2020-04-14_bza_minutes.pdf
2020-04-14:95-19:1,bza-95-19-765c392d3a,95-19,2020-04-14,postponed,ADJOURNED WITHOUT DATE AND WITHOUT FEE,recorded_disposition,2020-04-14_bza_minutes.pdf
2020-04-14:BSEED SLU2019-00141:1,bza-bseed-slu2019-00141-e642903056,BSEED SLU2019-00141,2020-04-14,postponed,ADJOURNED WITHOUT DATE AND WITHOUT FEE,recorded_disposition,2020-04-14_bza_minutes.pdf
2020-04-21:111-19:1,bza-111-19-7252fe4512,111-19,2020-04-21,decided,PARKING VARIANCE GRANTED,recorded_disposition,2020-04-21_bza_minutes.pdf
2020-04-21:26-17:1,bza-26-17-06a09b7674,26-17,2020-04-21,decided,MOTION FAILS/SPACING/LOCATIONAL VARIANCE DENIED,recorded_disposition,2020-04-21_bza_minutes.pdf
2020-04-21:7-20:1,bza-7-20-39fc390e6c,7-20,2020-04-21,decided,DIMENSIONAL (LOADING) VARIANCE GRANTED,recorded_disposition,2020-04-21_bza_minutes.pdf
2020-04-21:98-19:1,bza-98-19-99e1df0223,98-19,2020-04-21,decided,SPACING/LOCATIONAL VARIANCE DENIED,recorded_disposition,2020-04-21_bza_minutes.pdf
2020-04-28:10-20:1,bza-10-20-4e6d17ae69,10-20,2020-04-28,decided,DIMENSIONAL VARIANCE GRANTED,recorded_disposition,2020-04-28_bza_minutes.pdf
2020-04-28:100-19:1,bza-100-19-fe808d91c8,100-19,2020-04-28,postponed,ADJOURNED WITHOUT DATE AND WITHOUT FEE,recorded_disposition,2020-04-28_bza_minutes.pdf
2020-04-28:26-17:1,bza-26-17-06a09b7674,26-17,2020-04-28,under_advisement,TAKEN UNDER ADVISEMENT,recorded_disposition,2020-04-28_bza_minutes.pdf
2020-04-28:76-18:1,bza-76-18-cbc171d150,76-18,2020-04-28,decided,BSEED DECISION REVERSED/LOCATION NOT IN A DRUG FREE ZONE,recorded_disposition,2020-04-28_bza_minutes.pdf
2020-04-28:96-19:1,bza-96-19-4b9e83ce6d,96-19,2020-04-28,postponed,ADJOURNED WITHOUT DATE AND WITHOUT FEE,recorded_disposition,2020-04-28_bza_minutes.pdf
2020-05-12:101-19:1,bza-101-19-2b70c94d41,101-19,2020-05-12,decided,PARKING VARIANCE GRANTED,recorded_disposition,2020-05-12_bza_minutes.pdf
2020-05-12:102-19:1,bza-102-19-118cde75ec,102-19,2020-05-12,decided,CHANGE OF NONCONFORMING USE GRANTED,recorded_disposition,2020-05-12_bza_minutes.pdf
2020-05-12:26-17:1,bza-26-17-06a09b7674,26-17,2020-05-12,postponed,"Director Ribbron informed the Board that this case will be back before the Board on May 19, 2020 and to review all documents of the case to be prepared to adjudicate a decision.",recorded_disposition,2020-05-12_bza_minutes.pdf
2020-05-12:6-20:1,bza-6-20-21fe579224,6-20,2020-05-12,decided,DIMENSIONAL VARIANCES GRANTED,recorded_disposition,2020-05-12_bza_minutes.pdf
2020-05-19:104-19:1,bza-104-19-3f504bb48a,104-19,2020-05-19,postponed,ADJOURNED WITHOUT DATE AND WITHOUT FEE,recorded_disposition,2020-05-19_bza_minutes.pdf
2020-05-19:106-19:1,bza-106-19-ac2502a929,106-19,2020-05-19,dismissed,DISMISSED WITH RETURN OF FEE,recorded_disposition,2020-05-19_bza_minutes.pdf
2020-05-19:26-17:1,bza-26-17-06a09b7674,26-17,2020-05-19,decided,MOTION FAILS/SPACING VARIANCE DENIED,inferred_from_motion_and_vote,2020-05-19_bza_minutes.pdf
2020-05-19:91-19:1,bza-91-19-9b79c42287,91-19,2020-05-19,decided,SPACING/LOCATIONAL VARIANCE DENIED,inferred_from_motion_and_vote,2020-05-19_bza_minutes.pdf
2020-05-26:107-19:1,bza-107-19-7c49964699,107-19,2020-05-26,decided,BSEED AFFIRMED/DRUG FREE ZONE,recorded_disposition,2020-05-26_bza_minutes.pdf
2020-05-26:108-19:1,bza-108-19-9b26eee3a4,108-19,2020-05-26,decided,BSEED GRANT EXTENDED,recorded_disposition,2020-05-26_bza_minutes.pdf
2020-05-26:109-19:1,bza-109-19-877243d9d6,109-19,2020-05-26,decided,"BSEED UPHELD, USE DENIED",recorded_disposition,2020-05-26_bza_minutes.pdf
2020-06-09:1-20:1,bza-1-20-b402ab3506,1-20,2020-06-09,decided,CHANGE OF NONCONFORMING USE DENIED,recorded_disposition,2020-06-09_bza_minutes.pdf
2020-06-09:2-20:1,bza-2-20-b0139b3b1f,2-20,2020-06-09,decided,"BSEED UPHELD, USE DENIED",recorded_disposition,2020-06-09_bza_minutes.pdf
2020-06-09:4-20:1,bza-4-20-e38716d808,4-20,2020-06-09,postponed,ADJOURNED WITHOUT DATE AND WITHOUT FEE,recorded_disposition,2020-06-09_bza_minutes.pdf
2020-06-16:103-19:1,bza-103-19-b51a4c7926,103-19,2020-06-16,decided,DIMENSIONAL VARIANCE GRANTED,recorded_disposition,2020-06-16_bza_minutes.pdf
2020-06-16:9-20:1,bza-9-20-68007fc307,9-20,2020-06-16,dismissed,DISMISSED AT PETITIONERS REQUEST AND WITH RETURN OF FEE,recorded_disposition,2020-06-16_bza_minutes.pdf
2020-06-16:90-19:1,bza-90-19-38e31cc945,90-19,2020-06-16,decided,DIMENSIONAL VARIANCES GRANTED,recorded_disposition,2020-06-16_bza_minutes.pdf
2020-06-23:1-19:1,bza-1-19-b17dd09224,1-19,2020-06-23,decided,DIMENSIONAL VARIANCES GRANTED,recorded_disposition,2020-06-23_bza_minutes.pdf
2020-06-23:11-20:1,bza-11-20-6f01bb250d,11-20,2020-06-23,postponed,ADJOURNED WITHOUT FEE AND WITHOUT DATE,recorded_disposition,2020-06-23_bza_minutes.pdf
2020-06-23:12-20:1,bza-12-20-f9060d3522,12-20,2020-06-23,decided,BSEED DENIAL REVERSED. USE GRANTED,recorded_disposition,2020-06-23_bza_minutes.pdf
2020-07-21:14-17:1,bza-14-17-07ea6a1a53,14-17,2020-07-21,decided,SPACING/LOCATIONAL VARIANCE DENIED,recorded_disposition,2020-07-21_bza_minutes.pdf
2020-07-21:17-20:1,bza-17-20-4f7a090036,17-20,2020-07-21,decided,DIMENSIONAL VARIANCES GRANTED,recorded_disposition,2020-07-21_bza_minutes.pdf
2020-07-21:68-18:1,bza-68-18-995664bec8,68-18,2020-07-21,decided,BSEED UPHELD/DRUG FREE ZONE AFFIRMED,recorded_disposition,2020-07-21_bza_minutes.pdf
